IP,Risk Level,Country,Abuse Score
103.112.234.65,Low Risk,IN,Abuse Score: 0
180.21.123.160,High Risk,JP,Abuse Score: 100
47.108.74.203,High Risk,CN,Abuse Score: 100
20.64.104.65,High Risk,US,Abuse Score: 100
47.238.193.69,High Risk,HK,Abuse Score: 89
117.242.236.137,Low Risk,IN,Abuse Score: 16
190.229.161.115,Medium Risk,AR,Abuse Score: 44
176.238.119.202,Low Risk,TR,Abuse Score: 0
112.46.213.73,Medium Risk,CN,Abuse Score: 49
120.56.9.143,Low Risk,IN,Abuse Score: 0
112.102.171.232,Medium Risk,CN,Abuse Score: 42
196.190.192.89,High Risk,ET,Abuse Score: 100
61.3.54.73,Low Risk,IN,Abuse Score: 0
202.186.94.150,High Risk,MY,Abuse Score: 78
104.0.10.125,Low Risk,US,Abuse Score: 0
118.26.105.179,Medium Risk,BR,Abuse Score: 36
8.137.22.54,Low Risk,CN,Abuse Score: 3
117.202.131.62,Low Risk,IN,Abuse Score: 29
101.36.108.175,High Risk,HK,Abuse Score: 100
59.97.159.76,Low Risk,IN,Abuse Score: 0
120.157.89.28,High Risk,AU,Abuse Score: 100
59.92.45.59,Low Risk,IN,Abuse Score: 24
59.178.33.83,Low Risk,IN,Abuse Score: 0
85.238.175.3,Low Risk,AT,Abuse Score: 0
125.25.231.209,Low Risk,TH,Abuse Score: 22
175.167.254.144,High Risk,CN,Abuse Score: 91
156.228.176.154,Low Risk,CA,Abuse Score: 4
125.99.1.202,Low Risk,IN,Abuse Score: 4
178.69.12.174,Medium Risk,RU,Abuse Score: 38
59.182.243.116,Medium Risk,IN,Abuse Score: 34
147.185.132.204,Low Risk,US,Abuse Score: 0
120.60.56.203,Low Risk,IN,Abuse Score: 27
87.15.203.209,Low Risk,IT,Abuse Score: 0
59.183.22.21,Low Risk,IN,Abuse Score: 30
139.192.164.152,Low Risk,ID,Abuse Score: 0
151.44.160.70,Medium Risk,IT,Abuse Score: 40
99.190.76.249,Low Risk,US,Abuse Score: 0
172.96.141.17,Low Risk,US,Abuse Score: 0
59.182.157.118,Low Risk,IN,Abuse Score: 26
103.214.8.138,High Risk,VN,Abuse Score: 100
47.223.114.233,High Risk,US,Abuse Score: 99
122.96.29.122,Low Risk,CN,Abuse Score: 13
191.101.157.188,High Risk,DE,Abuse Score: 68
14.225.206.98,High Risk,VN,Abuse Score: 100
94.102.49.82,High Risk,NL,Abuse Score: 100
76.131.212.145,Low Risk,US,Abuse Score: 0
58.52.110.123,Medium Risk,CN,Abuse Score: 54
59.94.53.204,Low Risk,IN,Abuse Score: 16
141.11.226.5,Low Risk,FR,Abuse Score: 0
59.95.134.166,Low Risk,IN,Abuse Score: 24
185.220.101.183,High Risk,DE,Abuse Score: 100
106.15.195.97,Low Risk,CN,Abuse Score: 0
42.100.62.218,High Risk,CN,Abuse Score: 79
117.195.229.51,Low Risk,IN,Abuse Score: 0
108.62.58.4,Low Risk,US,Abuse Score: 0
160.79.109.206,Low Risk,US,Abuse Score: 15
216.151.130.226,Low Risk,US,Abuse Score: 0
199.195.253.13,High Risk,US,Abuse Score: 77
113.221.45.29,Medium Risk,CN,Abuse Score: 36
125.209.82.78,Low Risk,PK,Abuse Score: 0
177.44.82.232,Low Risk,BR,Abuse Score: 0
185.93.89.81,High Risk,NL,Abuse Score: 100
20.150.206.76,High Risk,US,Abuse Score: 100
89.44.135.174,Low Risk,IR,Abuse Score: 0
59.88.158.58,Low Risk,IN,Abuse Score: 0
114.158.221.17,Low Risk,JP,Abuse Score: 33
13.56.251.243,High Risk,US,Abuse Score: 86
223.107.146.186,High Risk,CN,Abuse Score: 100
117.194.247.166,Low Risk,IN,Abuse Score: 16
115.79.208.56,Low Risk,VN,Abuse Score: 0
125.68.172.20,Low Risk,CN,Abuse Score: 0
61.1.139.56,Low Risk,IN,Abuse Score: 15
179.43.182.232,High Risk,CH,Abuse Score: 66
59.184.58.128,Low Risk,IN,Abuse Score: 20
176.9.24.119,Low Risk,DE,Abuse Score: 0
113.212.69.253,Low Risk,ID,Abuse Score: 0
113.253.254.156,High Risk,HK,Abuse Score: 100
120.48.98.125,High Risk,CN,Abuse Score: 100
170.106.11.141,High Risk,US,Abuse Score: 100
117.212.74.18,Low Risk,IN,Abuse Score: 30
117.195.165.127,Low Risk,IN,Abuse Score: 4
64.62.197.92,High Risk,US,Abuse Score: 100
61.3.14.157,Low Risk,IN,Abuse Score: 0
